Top (Ma),Base (Ma),Duration (myr)
154.59,154.73,0.14
154.73,155.01,0.28
155.01,155.38,0.37
155.38,155.54,0.16
155.54,155.85,0.31
155.85,156.04,0.19
156.04,156.16,0.12
156.16,156.22,0.06
156.22,156.29,0.07
156.29,156.39,0.1
156.39,156.42,0.03
156.42,156.56,0.14
156.56,156.69,0.13
156.69,156.75,0.06
156.75,156.78,0.03
156.78,156.84,0.06
156.84,156.94,0.1
156.94,157.04,0.1
157.04,157.06,0.02
157.06,157.25,0.19
157.25,157.4,0.15
157.4,157.57,0.17
157.57,157.87,0.3
157.87,158.02,0.15
158.02,158.12,0.1
158.12,158.36,0.24
158.36,158.41,0.05
158.41,158.5,0.09
158.5,158.6,0.1
158.6,158.69,0.09
158.69,158.78,0.09
158.78,158.89,0.11
158.89,159.04,0.15
159.04,159.07,0.03
159.07,159.14,0.07
159.14,159.38,0.24
159.38,159.43,0.05
159.43,159.49,0.06
159.49,159.62,0.13
159.62,159.78,0.16
159.78,159.88,0.1
159.88,159.91,0.03
159.91,160.07,0.16
160.07,160.15,0.08
160.15,160.18,0.03
160.18,160.22,0.04
160.22,160.26,0.04
160.26,160.32,0.06
160.32,160.34,0.02
160.34,160.37,0.03
160.37,160.47,0.1
160.47,160.52,0.05
160.52,160.55,0.03
160.55,160.63,0.08
160.63,160.93,0.3
160.93,161.06,0.13
161.06,161.14,0.08
161.14,161.21,0.07
161.21,161.28,0.07
161.28,161.39,0.11
161.39,161.43,0.04
161.43,161.49,0.06
161.49,161.61,0.12
161.61,161.81,0.2
161.81,161.89,0.08
161.89,161.96,0.07
161.96,162.01,0.05
162.01,162.04,0.03
162.04,162.06,0.02
162.06,162.12,0.06
162.12,162.15,0.03
162.15,162.28,0.13
162.28,162.37,0.09
162.37,162.43,0.06
162.43,162.46,0.03
162.46,162.49,0.03
162.49,162.55,0.06
162.55,162.7,0.15
162.7,162.8,0.1
162.8,162.86,0.06
162.86,162.9,0.04
162.9,162.92,0.02
162.92,162.95,0.03
162.95,163.1,0.15
163.1,163.16,0.06
163.16,163.29,0.13
163.29,163.53,0.24
163.53,163.65,0.12
163.65,163.76,0.11
163.76,163.85,0.09
163.85,163.98,0.13
163.98,164.03,0.05
164.03,164.18,0.15
164.18,164.22,0.04
164.22,164.3,0.08
164.3,164.41,0.11
164.41,164.63,0.22
164.63,164.69,0.06
164.69,164.85,0.16
164.85,164.91,0.06
164.91,165.08,0.17
165.08,165.2,0.12
165.2,165.34,0.14
165.34,165.4,0.06
165.4,165.53,0.13
165.53,165.65,0.12
165.65,165.8,0.15
165.8,165.96,0.16
165.96,166.08,0.12
166.08,166.21,0.13
166.21,166.3,0.09
166.3,166.4,0.1
166.4,166.47,0.07
166.47,166.51,0.04
166.51,166.61,0.1
166.61,166.68,0.07
166.68,166.72,0.04
166.72,166.89,0.17
166.89,166.96,0.07
166.96,167.05,0.09
167.05,167.11,0.06
167.11,167.33,0.22
167.33,167.36,0.03
167.36,167.43,0.07
167.43,167.51,0.08
167.51,167.69,0.18
167.69,167.75,0.06
167.75,167.85,0.1
167.85,167.91,0.06
167.91,168.01,0.1
168.01,168.03,0.02
168.03,168.14,0.11
168.14,168.24,0.1
168.24,168.34,0.1
168.34,168.36,0.02
168.36,168.4,0.04
168.4,168.45,0.05
168.45,168.49,0.04
168.49,168.51,0.02
168.51,168.53,0.02
168.53,168.57,0.04
168.57,168.59,0.02
168.59,168.61,0.02
168.61,168.63,0.02
168.63,168.65,0.02
168.65,168.68,0.03
168.68,168.7,0.02
168.7,168.74,0.04
168.74,168.8,0.06
168.8,168.92,0.12
168.92,168.95,0.03
168.95,169.12,0.17
169.12,169.14,0.02
169.14,169.23,0.09
169.23,169.25,0.02
169.25,169.38,0.13
169.38,169.47,0.09
169.47,169.55,0.08
169.55,169.6,0.05
169.6,169.64,0.04
169.64,169.68,0.04
169.68,169.74,0.06
169.74,169.81,0.07
169.81,169.89,0.08
169.89,169.93,0.04
169.93,169.97,0.04
169.97,170,0.03
170,170.1,0.1
170.1,170.13,0.03
170.13,170.16,0.03
